result_file,map_size,decision_family,approach,artifact_kind,bytes
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_selector_smoke.config.json,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,configuration,5324
15x15/model_based/learned_frontier_ranker/adaptive_ensemble_evaluations/v11_equivalent_selector_smoke.csv,15x15,model_based,learned_frontier_ranker/adaptive_ensemble_evaluations,supporting_result,700
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/README.md,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08,supporting_result,513
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/dagger_smoke.csv,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08,supporting_result,965
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/dynamic_smoke.csv,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08,supporting_result,572
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/ensemble_selector_smoke.csv,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08,supporting_result,556
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/frontier_ensemble_smoke/ensemble_report.json,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/frontier_ensemble_smoke,supporting_result,5278
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/frontier_ensemble_smoke/member_00_training.csv,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/frontier_ensemble_smoke,training_metric,164
15x15/model_based/learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08/run_config.json,15x15,model_based,learned_frontier_ranker/obsolete_intra_episode_dynamic_prototype/2026-08-08,configuration,1719
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/README.md,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,supporting_result,538
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/current_profile_dagger_smoke.config.json,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,configuration,5314
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/current_profile_dagger_smoke.csv,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,supporting_result,2302
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/current_profile_dagger_smoke_part2.config.json,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,configuration,5313
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/current_profile_dagger_smoke_part2.csv,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,supporting_result,1252
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/current_profile_dagger_smoke_part3.config.json,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,configuration,5313
15x15/model_based/learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08/current_profile_dagger_smoke_part3.csv,15x15,model_based,learned_frontier_ranker/obsolete_pre_equivalence_controller/2026-08-08,supporting_result,791
